name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Leedey,12755,Valid,L6,51500.0,Fell,1943-01-01T00:00:00.000,35.88333,-99.33333,"{'latitude': '35.88333', 'longitude': '-99.33333'}",20.0,608.0
Leeuwfontein,12756,Valid,L6,460.0,Fell,1912-01-01T00:00:00.000,-25.66667,28.36667,"{'latitude': '-25.66667', 'longitude': '28.36667'}",,
Leighlinbridge,12759,Valid,L6,271.4,Fell,1999-01-01T00:00:00.000,52.66667,-6.96667,"{'latitude': '52.66667', 'longitude': '-6.96667'}",,
Leighton,12760,Valid,H5,877.0,Fell,1907-01-01T00:00:00.000,34.58333,-87.5,"{'latitude': '34.58333', 'longitude': '-87.5'}",29.0,1585.0
Leonovka,12765,Valid,L6,700.0,Fell,1900-01-01T00:00:00.000,52.26667,32.85,"{'latitude': '52.26667', 'longitude': '32.85'}",,
Les Ormes,12769,Valid,L6,125.0,Fell,1857-01-01T00:00:00.000,48.35,3.25,"{'latitude': '48.35', 'longitude': '3.25'}",,
Lesves,12772,Valid,L6,2000.0,Fell,1896-01-01T00:00:00.000,50.36667,4.73333,"{'latitude': '50.36667', 'longitude': '4.73333'}",,
Lichtenberg,14646,Valid,H6,4000.0,Fell,1973-01-01T00:00:00.000,-26.15,26.18333,"{'latitude': '-26.15', 'longitude': '26.18333'}",,
Lillaverke,14650,Valid,H5,6862.0,Fell,1930-01-01T00:00:00.000,56.65,15.86667,"{'latitude': '56.65', 'longitude': '15.86667'}",,
Limerick,14652,Valid,H5,50000.0,Fell,1813-01-01T00:00:00.000,52.56667,-8.78333,"{'latitude': '52.56667', 'longitude': '-8.78333'}",,
Linum,14655,Valid,L6,1862.0,Fell,1854-01-01T00:00:00.000,52.75,12.9,"{'latitude': '52.75', 'longitude': '12.9'}",,
Lishui,14659,Valid,L5,498.0,Fell,1978-01-01T00:00:00.000,31.63333,118.98333,"{'latitude': '31.63333', 'longitude': '118.98333'}",,
Lissa,14661,Valid,L6,12800.0,Fell,1808-01-01T00:00:00.000,50.2,14.85,"{'latitude': '50.2', 'longitude': '14.85'}",,
Little Piney,14664,Valid,L5,491.0,Fell,1839-01-01T00:00:00.000,37.91667,-92.08333,"{'latitude': '37.91667', 'longitude': '-92.08333'}",18.0,2171.0
Lixna,14670,Valid,H4,5213.0,Fell,1820-01-01T00:00:00.000,56.0,26.43333,"{'latitude': '56.0', 'longitude': '26.43333'}",,
Lodran,14675,Valid,Lodranite,1000.0,Fell,1868-01-01T00:00:00.000,29.53333,71.8,"{'latitude': '29.53333', 'longitude': '71.8'}",,
Lohawat,14678,Valid,Howardite,40000.0,Fell,1994-01-01T00:00:00.000,26.96556,72.62667,"{'latitude': '26.96556', 'longitude': '72.62667'}",,
Lorton,52843,Valid,L6,329.7,Fell,2010-01-01T00:00:00.000,38.70066,-77.21163,"{'latitude': '38.70066', 'longitude': '-77.21163'}",40.0,2770.0
Los Martinez,14708,Valid,L6,25.0,Fell,1894-01-01T00:00:00.000,38.0,-0.83333,"{'latitude': '38.0', 'longitude': '-0.83333'}",,
Lost City,14711,Valid,H5,17000.0,Fell,1970-01-01T00:00:00.000,36.00833,-95.15,"{'latitude': '36.00833', 'longitude': '-95.15'}",20.0,2711.0
Louisville,14716,Valid,L6,1300.0,Fell,1977-01-01T00:00:00.000,38.25,-85.75,"{'latitude': '38.25', 'longitude': '-85.75'}",36.0,1327.0
Łowicz,14718,Valid,Mesosiderite-A3,59000.0,Fell,1935-01-01T00:00:00.000,52.0,19.91667,"{'latitude': '52.0', 'longitude': '19.91667'}",,
Lua,14721,Valid,L5,9241.0,Fell,1926-01-01T00:00:00.000,24.95,75.15,"{'latitude': '24.95', 'longitude': '75.15'}",,
Lucé,14724,Valid,L6,3500.0,Fell,1768-01-01T00:00:00.000,47.85,0.48333,"{'latitude': '47.85', 'longitude': '0.48333'}",,
Lumpkin,14753,Valid,L6,340.0,Fell,1869-01-01T00:00:00.000,32.03333,-84.76667,"{'latitude': '32.03333', 'longitude': '-84.76667'}",31.0,1567.0
Lunan,14754,Valid,H6,2520.0,Fell,1980-01-01T00:00:00.000,24.8,103.3,"{'latitude': '24.8', 'longitude': '103.3'}",,
Lundsgård,14755,Valid,L6,11000.0,Fell,1889-01-01T00:00:00.000,56.21667,13.03333,"{'latitude': '56.21667', 'longitude': '13.03333'}",,
Luotolax,14756,Valid,Howardite,885.0,Fell,1813-01-01T00:00:00.000,61.2,27.7,"{'latitude': '61.2', 'longitude': '27.7'}",,
Luponnas,14757,Valid,H3-5,14000.0,Fell,1753-01-01T00:00:00.000,46.21667,5.0,"{'latitude': '46.21667', 'longitude': '5.0'}",,
Lusaka,14759,Valid,Unknown,,Fell,1951-01-01T00:00:00.000,-7.21667,29.43333,"{'latitude': '-7.21667', 'longitude': '29.43333'}",,
Mabwe-Khoywa,14764,Valid,L5,540.0,Fell,1937-01-01T00:00:00.000,19.0,97.0,"{'latitude': '19.0', 'longitude': '97.0'}",,
Macau,15370,Valid,H5,1500.0,Fell,1836-01-01T00:00:00.000,-5.2,-36.66667,"{'latitude': '-5.2', 'longitude': '-36.66667'}",,
Machinga,15371,Valid,L6,93200.0,Fell,1981-01-01T00:00:00.000,-15.21222,35.24222,"{'latitude': '-15.21222', 'longitude': '35.24222'}",,
Macibini,15372,Valid,Eucrite-pmict,1995.0,Fell,1936-01-01T00:00:00.000,-28.83333,31.95,"{'latitude': '-28.83333', 'longitude': '31.95'}",,
Madhipura,15379,Valid,L,1000.0,Fell,1950-01-01T00:00:00.000,25.91667,86.36667,"{'latitude': '25.91667', 'longitude': '86.36667'}",,
Madiun,15380,Valid,L6,400.0,Fell,1935-01-01T00:00:00.000,-7.75,111.53333,"{'latitude': '-7.75', 'longitude': '111.53333'}",,
Madrid,15382,Valid,L6,400.0,Fell,1896-01-01T00:00:00.000,40.41667,-3.71667,"{'latitude': '40.41667', 'longitude': '-3.71667'}",,
Mafra,15383,Valid,L3-4,600.0,Fell,1941-01-01T00:00:00.000,-26.16667,-49.93333,"{'latitude': '-26.16667', 'longitude': '-49.93333'}",,
Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,Fell,1899-01-01T00:00:00.000,37.86667,27.51667,"{'latitude': '37.86667', 'longitude': '27.51667'}",,
Magombedze,15387,Valid,H3-5,666.6,Fell,1990-01-01T00:00:00.000,-19.48333,31.65,"{'latitude': '-19.48333', 'longitude': '31.65'}",,
Mahadevpur,47361,Valid,H4/5,70500.0,Fell,2007-01-01T00:00:00.000,27.66667,95.78333,"{'latitude': '27.66667', 'longitude': '95.78333'}",,
Maigatari-Danduma,30751,Valid,H5/6,4629.0,Fell,2004-01-01T00:00:00.000,12.83333,9.38333,"{'latitude': '12.83333', 'longitude': '9.38333'}",,
Malaga,15393,Valid,OC,150.0,Fell,1933-01-01T00:00:00.000,32.21667,-104.0,"{'latitude': '32.21667', 'longitude': '-104.0'}",11.0,611.0
Malakal,15394,Valid,L5,2000.0,Fell,1970-01-01T00:00:00.000,9.5,31.75,"{'latitude': '9.5', 'longitude': '31.75'}",,
Malampaka,15395,Valid,H,470.0,Fell,1930-01-01T00:00:00.000,-3.13333,33.51667,"{'latitude': '-3.13333', 'longitude': '33.51667'}",,
Malotas,15397,Valid,H5,,Fell,1931-01-01T00:00:00.000,-28.93333,-63.23333,"{'latitude': '-28.93333', 'longitude': '-63.23333'}",,
Malvern,15400,Valid,Eucrite-pmict,807.0,Fell,1933-01-01T00:00:00.000,-29.45,26.76667,"{'latitude': '-29.45', 'longitude': '26.76667'}",,
Mamra Springs,15401,Valid,L6,1000.0,Fell,1927-01-01T00:00:00.000,45.21667,62.08333,"{'latitude': '45.21667', 'longitude': '62.08333'}",,
Manbhoom,15402,Valid,LL6,1700.0,Fell,1863-01-01T00:00:00.000,23.05,86.7,"{'latitude': '23.05', 'longitude': '86.7'}",,
Manegaon,15403,Valid,Diogenite,50.0,Fell,1843-01-01T00:00:00.000,20.96667,76.1,"{'latitude': '20.96667', 'longitude': '76.1'}",,
Mangwendi,15405,Valid,LL6,22300.0,Fell,1934-01-01T00:00:00.000,-17.65,31.6,"{'latitude': '-17.65', 'longitude': '31.6'}",,
Manych,15409,Valid,LL3.4,3555.0,Fell,1951-01-01T00:00:00.000,45.81667,44.63333,"{'latitude': '45.81667', 'longitude': '44.63333'}",,
Mardan,15414,Valid,H5,4500.0,Fell,1948-01-01T00:00:00.000,34.23333,72.08333,"{'latitude': '34.23333', 'longitude': '72.08333'}",,
Maria Linden,15418,Valid,L4,114.0,Fell,1925-01-01T00:00:00.000,,,,,
Mariaville,15419,Valid,Iron,340.0,Fell,1898-01-01T00:00:00.000,42.71667,-99.38333,"{'latitude': '42.71667', 'longitude': '-99.38333'}",19.0,471.0
Maribo,48973,Valid,CM2,25.81,Fell,2009-01-01T00:00:00.000,54.76183,11.46745,"{'latitude': '54.76183', 'longitude': '11.46745'}",,
Maridi,15421,Valid,H6,3200.0,Fell,1941-01-01T00:00:00.000,4.66667,29.25,"{'latitude': '4.66667', 'longitude': '29.25'}",,
Marilia,15422,Valid,H4,2500.0,Fell,1971-01-01T00:00:00.000,-22.25,-49.93333,"{'latitude': '-22.25', 'longitude': '-49.93333'}",,
Marion (Iowa),15424,Valid,L6,28400.0,Fell,1847-01-01T00:00:00.000,41.9,-91.6,"{'latitude': '41.9', 'longitude': '-91.6'}",16.0,287.0
Marjalahti,15426,Valid,"Pallasite, PMG",45000.0,Fell,1902-01-01T00:00:00.000,61.5,30.5,"{'latitude': '61.5', 'longitude': '30.5'}",,
Marmande,15429,Valid,L5,3000.0,Fell,1848-01-01T00:00:00.000,44.5,0.15,"{'latitude': '44.5', 'longitude': '0.15'}",,
Maromandia,15430,Valid,L6,6000.0,Fell,2002-01-01T00:00:00.000,-14.2,48.1,"{'latitude': '-14.2', 'longitude': '48.1'}",,
Maryville,15436,Valid,L6,1443.0,Fell,1983-01-01T00:00:00.000,35.8,-84.1,"{'latitude': '35.8', 'longitude': '-84.1'}",39.0,2740.0
Mascombes,15438,Valid,L6,1000.0,Fell,1836-01-01T00:00:00.000,45.36667,1.86667,"{'latitude': '45.36667', 'longitude': '1.86667'}",,
Mason Gully,53653,Valid,H5,24.54,Fell,2010-01-01T00:00:00.000,0.0,0.0,"{'latitude': '0.0', 'longitude': '0.0'}",,
Mässing,15443,Valid,Howardite,1600.0,Fell,1803-01-01T00:00:00.000,48.13333,12.61667,"{'latitude': '48.13333', 'longitude': '12.61667'}",,
Mauerkirchen,15446,Valid,L6,19000.0,Fell,1768-01-01T00:00:00.000,48.18333,13.13333,"{'latitude': '48.18333', 'longitude': '13.13333'}",,
Mauritius,15447,Valid,L6,220.0,Fell,1801-01-01T00:00:00.000,-20.0,57.0,"{'latitude': '-20.0', 'longitude': '57.0'}",,
Mayo Belwa,15451,Valid,Aubrite,4850.0,Fell,1974-01-01T00:00:00.000,8.96667,12.08333,"{'latitude': '8.96667', 'longitude': '12.08333'}",,
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,Fell,1885-01-01T00:00:00.000,24.68333,-101.68333,"{'latitude': '24.68333', 'longitude': '-101.68333'}",,
Maziba,15454,Valid,L6,4975.0,Fell,1942-01-01T00:00:00.000,-1.21667,30.0,"{'latitude': '-1.21667', 'longitude': '30.0'}",,
Mbale,15455,Valid,L5/6,150000.0,Fell,1992-01-01T00:00:00.000,1.06667,34.16667,"{'latitude': '1.06667', 'longitude': '34.16667'}",,
Medanitos,15467,Valid,Eucrite-cm,31.0,Fell,1953-01-01T00:00:00.000,-27.25,-67.5,"{'latitude': '-27.25', 'longitude': '-67.5'}",,
Meerut,15469,Valid,H5,22.0,Fell,1861-01-01T00:00:00.000,29.01667,77.8,"{'latitude': '29.01667', 'longitude': '77.8'}",,
